epoch,train_loss,train_acc,val_loss,val_acc
1,1.7377346370082636,0.6519253910950662,1.2475425163904825,0.7311337311337311
2,1.1821994666869824,0.7522563176895307,1.0899417108959621,0.7578097578097578
3,1.073971983905022,0.7682009626955475,1.0123233450783624,0.7760617760617761
4,1.007659808660929,0.7817388688327317,0.949506770239936,0.7911547911547911
5,0.9459026584831568,0.8012184115523465,0.904554831981659,0.7992277992277992
6,0.900601062637109,0.8227286401925391,0.8611447268062168,0.8329238329238329
7,0.8679978248591607,0.8412304452466908,0.8396686885091994,0.8462618462618463
8,0.8420929650847728,0.8525872442839952,0.8135518749554952,0.8592488592488593
9,0.8337186013276761,0.8574007220216606,0.8123851577440898,0.8525798525798526
10,0.8184842705153502,0.8671780986762936,0.8067268331845602,0.85995085995086
11,0.8070168165633311,0.8700361010830325,0.7870089610417684,0.8595998595998596
12,0.7937620712014345,0.8766546329723225,0.7834517346488105,0.8683748683748683
13,0.7884047082983531,0.8810920577617328,0.7836228887240092,0.8796068796068796
14,0.7809370976801102,0.8867328519855595,0.7746397097905476,0.875043875043875
15,0.774342146057349,0.8884626955475331,0.7749693645371332,0.8806598806598807
16,0.7697546530801517,0.8910198555956679,0.7616625587145488,0.8859248859248859
17,0.761438609029238,0.8954572803850782,0.7592836764123705,0.8862758862758863
18,0.7672659158706665,0.891245487364621,0.7602011044820149,0.8908388908388908
19,0.761474570689293,0.8959837545126353,0.7608702222506205,0.8817128817128818
20,0.752144060169275,0.901549338146811,0.7610547184944153,0.8848718848718848
